,A,A,A,,
,【英語】,【日本語】,宮原1,,調和性
1,I select the gift to my friends individually.,私は、それぞれの友人にぴったりの贈り物を選ぶ。,個別化,,コミュニケーション
2,I like to get along with those whom are foresighted.,私は、未来志向の人と交流するのが好きである。,未来志向,,共感性
3,I hope that everyone likes me.,私は、誰からも好かれたい。,包含,,包含
4,I strive to be first.,私は、一番になるように、全力を尽くす。,競争性,,個別化
5,I always work hard.,私は、いつも一生懸命やってきた。,責任感,,親密性
6,I am able to think about my specialties carefully.,私は、自分の得意なことについて考える。,最上志向(?),,責任感
7,I am very sentimental.,私は、繊細な人間である。,共感性,,指令性
8,I understand others' personality.,私は、一人一人と向き合って、相手を知る。,個別化,,競争性
9,To talk to people initiatively makes me embarrassed.,会話の糸口を見つけるには、努力がいる。,慎重さ,,成長促進
10,I feel very good about my life.,人生をすばらしいものと感じている。,運命思考,,ポジティブ
11,I prefer to team work.,私は、チーム・プレイヤー(協調性が高いこと)である。,コミュニケーション,,最上志向
12,I make people feel that they are important to me.,私は、その人が私にとって大切な人間であると感じさせることができる。,親密性,,社交性
13,My opinion of humanity leads me in life.,信念が私の人生の活力となっている。,信念,,達成欲
14,When someone's friend can make me feel satisfied.,私は、友達を作ることに満足を感じる。,社交性,,活発性
15,I am systematic and to go as planned.,私は、順序に従うのが好きである。,規律性,,信念
16,I focus on being brought up.,私は、成長のために全力を尽くす。,最上志向,,自我
17,I want my life balanced.,私は、バランスのとれた生活を送りたい。,公平性,,規律性
18,I talk about my vision for the future several times in a day.,私は、毎日、将来のビジョンについて何度も話す。,未来志向,,適応性
19,I make people excited.,私は、人をワクワクさせることができる。,未来志向,,目標志向
20,"Once I make a decision, I excute immidiately.",一度決断したら必ず行動を起こす。,活発性,,回復志向
21,I spend more time than people do to achieve the target.,私は、他の多くの人よりも、自分の成し遂げたいことに集中できる。,達成欲,,自己確信
22,"I think there is no coincidence in the world, there's a reason for everything.",私は、偶然を信じない。全ての出来事には理由がある。,原点思考,,分析思考
23,I am good at talking.,私は、会話が上手である。,コミュニケーション,,アレンジ
24,I like to praise people.,私は、人をほめたり、表彰することが好きである。,成長促進,,慎重さ
25,I like competitions.,私は、競争が好きである。,競争性,,運命思考
26,I get my feet back on the ground and ask expert for direction.,私は、非常に実際的な考え方をする人間であり、上手に専門家の助けを借りて正しい答を見つける,回復志向,,公平性
27,I am energatic and full of joy.,私は、生き生きとしており、喜びに溢れている。,ポジティブ,,未来志向
28,I want to a president of a company.,私は、大組織の最高経営責任者になりたい。,自我,,着想
29,I sometimes force others.,私は、ときどき、人を怖じ気づかせてしまう。,指令性,,収集心
30,I put myself in others' shoes and realize how they feel.,私は、その人の立場になって、その直面している状況を理解することができる。,共感性,,内省
31,I urge people to success.,私は、人が成功するよう、働きかける。,成長促進,,学習欲
32,I am carefree.,私は、心配ごとにこだわらない人間である。,ポジティブ,,原点思考
33,I like to do things with people.,私は、できるだけたくさんの人と一緒に物事をするのが好きである。,包含,,戦略性
34,I apply experiences from the eighties to learn about future.,私は、歴史を学ぶことで将来を予測することができる。,原点思考,,
35,I belong to a higher level.,私は、私よりも大きな存在の一部である。,運命思考,,
36,I integrate my work with my life.,私は、仕事を自分の人生において重要な意味を持つものとしたい。,信念,,
37,I would be sad if someone does not like me.,私は、人から嫌われると悲しい思いになる。,包含,,
38,I organize. ,私は、整理、系統づけるタイプである。,規律性,,
39,I realize others' point when listening to them and it makes them happy.,私は、相手の話の重要な箇所を指摘し、相手を喜ばせることができる。,個別化,,
40,I am looking for someone philosophical.,私は、哲学的な人を探し求める。,原点思考,,
41,I am willing to make others to be aware of their own values.,私は、相手が価値ある存在であることを感じさせることが楽しい。,個別化,,
42,I solve problems by intuition.,私は、問題を直感的に解決する。,適応性,,
43,I rationally suspect life.,私は、人生に関して健全な懐疑心を持っている。,着想,,
44,My friends ask me to tell a story.,私は、友人に話をしてほしいと頼まれる。,コミュニケーション,,
45,I prefer to get along with whose personality is close to mine.,自分と似た人と一緒にいる方がよい。,最上志向(?),,
46,"I do not need to spend more time in work, just like everyone does.",私は、ほとんどの人と同じペースで仕事ができるが、さらにハードに長時間、仕事をする気はない。,アレンジ,,
47,Anythings about sports storngly attract me.,スポーツなら、何でも興味がある。,収集心,,
48,I am systematical.,私は、非常にきちんとした人間である。,規律性,,
49,I become mature by sharing experience to other.,私は、人と何かを分かち合うことによって、成長する。,共感性,,
50,I excute in accordance with the plan I set.,私は、自分が練った将来計画にそって行動している。,未来志向,,
51,I focused on the goal which can be reached in the future.,私は将来自分が達成できることに焦点を当てている。,達成欲,,
52,I get along with people well after understanding their weaknesses.,人の欠点を理解することで、よい関係を築ける。,親密性,,
53,"I accept everyone, and not to hurt their feelings thus.",私は誰の気持ちも傷つけることがないよう皆を受け入れる。,包含,,
54,I am not conceited. I do not care whether others treat me as a professional and successful man.,信頼できる専門家で成功した人物として認められなければならないほど、私の自我は強くない。,指令性(?),,
55,I would like to comprehend the causes of World War.,世界大戦が起きた理由を理解することは楽しい。,原点思考,,
56,I analyze incidents I encountered in my life.,私は自分の現在の生活において直面する問題に対し分析的である。,分析思考,,
57,I improve by giving full play to my abilities.,私は自分の才能を最大限に活用することにより前進する。,最上志向,,
58,"In my opinion, I plan everythings in advance before excuting.",私にとっては、何事も計画が必要である。,規律性,,
59,I am looking for a variety of ways to solve problems.,私は、物事をするのに様々なやり方を見つける。,着想,,
60,I hate to cry.,泣いている自分は、大嫌いだ。,競争性,,
61,I like relaxing.,私は、のんびりするのが楽しい。,調和性,,
62,Money equals to happiness.,幸せとは、お金である。,目標志向,,
63,I ask for advices of others,私は、人の意見を求める。,調和性,,
64,I am convinced that treat everyone equally. It is essential that make reular rules to people.,私は、すべての人が等しく処遇され、従うべき明確な規則を有することは絶対に不可欠であると考える。,公平性,,
65,I ask experts to find the correct answer,私は、正しい答えを見つける時には、専門家の助けに依存する。,回復志向,,
66,I have always been very generous praise of others.,私は、褒め言葉を惜しまない。,成長促進,,
67,"Unless I am the champion in a competition, I do not satisfy.",私は、競争で一番にならない限りは、完全に満足することはない。,競争性,,
68,I am good at combining various people work together.,私は、全くタイプの異なる人間をどうすれば一緒にうまく仕事がさせられるかを考えるのが得意である。,個別化,,
69,I try not to stay at the comfortable situation.,私は、自分が安全、もしくは、快適と感じられる範囲内にとどまろうとする。,慎重さ,,
70,I can understand the feelings of colleagues.,私には、同僚の感じていることが分かる。,共感性,,
71,"It is not important whether I like someone or not, but how the personality he or she is.",大切なことは、自分がその人を好きか嫌いかではなく、その人がどういう人であるかである。,個別化 ,,
72,I make major decisions depends on intuition.,重要な決定を下すときには、自分の気持ちを信じる。,自己確信,,
73,I react during something happen.,私は、物事が生じるままに対応していく。,適応性,,
74,I love everyone.,私は、誰もが好きである。,包含,,
75,I am dedicated in achieving my goal.,目標が私の強い動機付けになる。,目標志向,,
76,I set goals every weeks.,私は、達成目標を毎週決めている。,目標志向,,
77,I like to deal with instant things.,私は、現在の出来事に対処するのが好きである。,適応性,,
78,I have to force myself to learn,勉強するには自分で自分を強いなければならない。,共感性,,
79,I like almost everythings about children.,私は、小さな子供を扱うことなら何でも好きである。,成長促進,,
80,I like the work which accuracy is required.,私は、正確さを要求される仕事が好きである。,規律性,,
81,I study the causes of others' behavior.,私は、人が何によって動かされるかについて勉強している。,運命思考,,
82,My life is regular,私は、毎日の習慣に従い行動する。,規律性,,
83,I am full of enthusiasm for education,私は、教育に関して熱心である。,成長促進,,
84,I like people to listen to me.,私は、自分の話を聞いてもらうのが好きである。,コミュニケーション,,
85,I am good at telling stories.,私は、物語を語るのがうまい。,コミュニケーション,,
86,I feel satisfied to myself with my improvement in life.,私は、自分の人生における進歩に満足している。,ポジティブ,,
87,I like speaking.,私は、話をするのが好きである。,コミュニケーション,,
88,I am a perfectionist.,私は、完璧主義者である。,最上志向,,
89,I consider dependablely.,私は、現実的なものの考え方をする人間である。,分析思考,,
90,I am looking for who point out my weaknesses straighly.,私は、私自身の弱点を率直に話してくれる人を探し求めている。,回復志向,,
91,I have to take care of myself first.,私はなによりも自分の世話をしなければならない。,自我,,
92,I am sociable,私は、非常に社交的である。,社交性,,
93,I never being out of words.,私は、言葉に詰まることがない。,コミュニケーション,,
94,I am carefree.,私は、屈託のない人間である。,指令性,,
95,I love to learn,私は、勉強が大好きである。,学習欲,,
96,I am a forgetful person,私は、よく物事を忘れる。,着想,,
97,I am good at observing the difference between people.,私は、個々人の違いについて、鋭く観察している。,個別化,,
98,I overcome the weaknesses and compensate for the lack to success.,私は、弱点を克服し、欠点を除去することにより、物事をやり遂げる。,回復志向,,
99,"When encounter dilemma but to complete the mission, I almost do it myself.",困難な状況下で完璧に物事を行わなければならない時、私は自ら進んで成し遂げようとする傾向がある。,活発性,,
100,I am an extrovert.,私は、外向的である。,活発性,,
101,I just want more friends.,できるだけ多くの友人が欲しい。,社交性,,
102,Sometimes twisting the truth is forgiven,時に、真実を曲げることも許される。,自己確信,,
103,I need a few friends but who are sincere.,よく知っている数人の友人が欲しい。,親密性,,
104,I am celebrated for clean.,私は、整理整頓上手で知られている。,規律性,,
105,I am creating me own future.,私は、自分の将来を自分で創造している。,自己確信,,
106,I like to challenge others.,私は、人に挑戦するのが好きである。,競争性,,
107,I am really care about privacy.,私は、自分のことは公にしない人間である。,慎重さ,,
108,I am generous.,私は、寛大である。,共感性,,
109,I am a leader.,私は、リーダーである。,指令性,,
110,I sometimes flatter others,私は、ときどきお世辞を言う。,調和性,,
111,I study for a long time if necessary.,私は、それが必要ならば、いくらでも長く勉強できる。,学習欲,,
112,"I seldom praise, so it is meaningful when I do praise.",私は、褒めすぎたり、評価しすぎないよう気をつけている。だから、私がそうするときは、本当に意義あることがなされたときである。,個別化,,
113,I am willing to learn new things,私は、新しいことを学ぶ用意がある。,学習欲,,
114,There is a goal in my life.,私は、人生の目的を持っている。,目標志向,,
115,I like philosophical discussions.,私は、哲学的な議論をするのが好きである。,原点思考,,
116,I like to be alone.,私は、一人でいるのが好きである。,内省,,
117,I imagine the future.,私は、将来を思い描く。,未来志向,,
118,I can truly realize myself.,私は、自分に関する真実は容易に認めることができる。,分析思考,,
119,I dare to talk about myself.,私は、自分がどういう人間であるかについて話すことを怖れない。,コミュニケーション,,
120,I was tenacious and independent when I was a child.,私は子ども時代、かなり活発で独立精神旺盛であった。,自我,,
121,I like to greet people.,私は、もてなすのが好きである。,社交性,,
